Amount;CreationTime
-1197.00;1
-1100.00;2
-938.00;3
-848.00;4
-1431.00;5
-325.00;6
-599.00;7
-140.00;8
-53.00;9
-290.00;10
-180.00;11
-1043.00;12
-337.00;13
-832.00;14
-797.00;15
-170.00;16
-60.00;17
-446.00;18
-193.00;19
-272.00;20
-1194.00;21
-321.00;22
-785.00;23
-349.00;24
-1171.00;25
-762.00;26
-84.00;27
-651.00;28
-449.00;29
-1314.00;30
